Id,language,Quote,Quote_url,Author,Author_Profile,Tags
2103257,en,"You were born as an ordinary human, but make sure you die as an extraordinary human",https://quotepark.com/quotes/2103257-cornelius-keagon-you-were-born-as-an-ordinary-human-but-make-sure/,Cornelius Keagon,https://quotepark.com/authors/cornelius-keagon/,"die, human, humanity, making, ordinary"
1121565,en,Longing is the agony of the nearness of the distant.,https://quotepark.com/quotes/1121565-martin-heidegger-longing-is-the-agony-of-the-nearness-of-the-distan/,Martin Heidegger,https://quotepark.com/authors/martin-heidegger/,"Distant, agony"
279622,en,"So, I am free. Fine.",https://quotepark.com/quotes/279622-tomas-garrigue-masaryk-so-i-am-free-fine/,Tomáš Garrigue Masaryk,https://quotepark.com/authors/tomas-garrigue-masaryk/,fine
2110817,en,Don't be shy to love once again. Because everyone is immature when it comes to love.,https://quotepark.com/quotes/2110817-mwanandeke-kindembo-dont-be-shy-to-love-once-again-because-everyone/,Mwanandeke Kindembo,https://quotepark.com/authors/mwanandeke-kindembo/,"Love, everyone"
2110876,en,Everything is predestined in life except the destiny of a man.,https://quotepark.com/quotes/2110876-mwanandeke-kindembo-everything-is-predestined-in-life-except-the-desti/,Mwanandeke Kindembo,https://quotepark.com/authors/mwanandeke-kindembo/,"Life, destiny, everything, exception, man"
1124296,en,"If you don’t like the road you’re walking, start paving another one.",https://quotepark.com/quotes/1124296-dolly-parton-if-you-dont-like-the-road-youre-walking-start-p/,Dolly Parton,https://quotepark.com/authors/dolly-parton/,"likeness, road, start, walk, walking, Motivational, Wise, For women, Deep, Success, Happy, Inspirational, Life, Powerful"
1801953,en,You can achieve anything in life. It just depends on how desperate you are to achieve it.,https://quotepark.com/quotes/1801953-milkha-singh-you-can-achieve-anything-in-life-it-just-depends/,Milkha Singh,https://quotepark.com/authors/milkha-singh/,"Life, Dependency, achievement, achiever, anything, dependent"
1308553,en,"There is only one happiness in life, to love and be loved.",https://quotepark.com/quotes/1308553-george-sand-there-is-only-one-happiness-in-life-to-love-and-b/,George Sand,https://quotepark.com/authors/george-sand/,"Love, Life, Happiness, happiness, Happy, Relationship, Cute, Romantic, Valentine's Day, Wedding, For Him, For Wife, Love"
1395531,en,"My pain may be the reason for somebody's laugh.
But my laugh must never be the reason for somebody's pain.",https://quotepark.com/quotes/1395531-charlie-chaplin-my-pain-may-be-the-reason-for-somebodys-laugh-bu/,Charlie Chaplin,https://quotepark.com/authors/charlie-chaplin/,"Pain, laugh, reason, somebody, Relationship"
2103245,en,The real you comes out when no one is watching,https://quotepark.com/quotes/2103245-cornelius-keagon-the-real-you-comes-out-when-no-one-is-watching/,Cornelius Keagon,https://quotepark.com/authors/cornelius-keagon/,"real, watch"
1956436,en,"Help me find a way to pass the time Everybody tellin' me life's short, but I wanna die Help me find a way to make you mine Everybody tellin' me not to, but I'm gonna try Now I'm gettin' high again, tonight",https://quotepark.com/quotes/1956436-lil-peep-help-me-find-a-way-to-pass-the-time-everybody-tell/,Lil Peep,https://quotepark.com/authors/lil-peep/,"Life, Way, Time, Help, die, everybody, finding, high, making, mine, mining, pass, passing, short, shorts, timing, tonight, try"
1033762,en,Love starts when we push aside our ego and make room for someone else.,https://quotepark.com/quotes/1033762-rudolf-steiner-love-starts-when-we-push-aside-our-ego-and-make-ro/,Rudolf Steiner,https://quotepark.com/authors/rudolf-steiner/,"Love, aside, ego, making, push, room, someone, start"
670487,en,"She raised an eyebrow. ""You got something to say to me, Seaweed Brain?""

You'd probably kick my butt.""

YouI'd kick your butt.""

I brushed the cake off my hands. ""When I was at the River Styx, turning invulnerable… Nico said I had to concentrate on one thing that kept me anchored to the world, that made me want to stay mortal.""

Annabeth kept her eyes on the horizon. ""Yeah?""

Then up on Olympus,"" I said, ""when they wanted to make me a god and stuff, I kept thinking-""

Oh, you so wanted to.""

Well, maybe a little. But I didn't, because I thought-I didn't want things to stay the same for eternity, because things could always get better. And I was thinking…"" My throat felt really dry.

Anyone in particular?"" Annabeth asked, her voice soft.

I looked over and saw that she was trying not to smile.

You're laughing at me,"" I complained.

I am not!""

You arenot making this easy.""

Then she laughed for real, and she put her hands
around my neck. ""I am never, going to make things easy for you, Seaweed Brain. Get used to it.",https://quotepark.com/quotes/670487-rick-riordan-she-raised-an-eyebrow-you-got-something-to-say-t/,Rick Riordan,https://quotepark.com/authors/rick-riordan/,"God, World, Smile, Thinking, anyone, brain, brush, brushing, cake, concentrate, concentration, eternity, eye, eyebrow, eyebrows, going, hand, handful, herring, horizon, kick, laugh, look, making, maybe, mortal, mortality, neck, particular, probability, put, raise, real, river, saw, seaweed, something, stay, stuff, thing, thought, throat, try, turn, turning, use, voice, want, well"
850833,en,"I'm not performing miracles, I'm using up and wasting a lot of paint…",https://quotepark.com/quotes/850833-claude-monet-im-not-performing-miracles-im-using-up-and-wast/,Claude Monet,https://quotepark.com/authors/claude-monet/,"Painting, lot, miracle, paint, performance, use, waste, wasting"
2111579,en,The best miracle is to be sent to paradise without paying a ticket.,https://quotepark.com/quotes/2111579-mwanandeke-kindembo-the-best-miracle-is-to-be-sent-to-paradise-without/,Mwanandeke Kindembo,https://quotepark.com/authors/mwanandeke-kindembo/,"miracle, paradise, pay, ticket"
1209324,en,All in all is all we are.,https://quotepark.com/quotes/1209324-kurt-cobain-all-in-all-is-all-we-are/,Kurt Cobain,https://quotepark.com/authors/kurt-cobain/,
1362382,en,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is.,https://quotepark.com/quotes/1362382-albert-einstein-there-are-only-two-ways-to-live-your-life-one-is/,Albert Einstein,https://quotepark.com/authors/albert-einstein/,"Life, Way, everything, living, miracle, nothing, other, Wise, Inspirational, Attitude, Life, Cute"
1474902,en,The only thing greater than the power of the mind is the courage of the heart,https://quotepark.com/quotes/1474902-john-nash-the-only-thing-greater-than-the-power-of-the-mind/,John Nash,https://quotepark.com/authors/john-nash/,"Courage, Heart, mind, power, thing"
1943860,en,Jimi Hendrix is very important. He's my idol.,https://quotepark.com/quotes/1943860-freddie-mercury-jimi-hendrix-is-very-important-hes-my-idol/,Freddie Mercury,https://quotepark.com/authors/freddie-mercury/,"import, importance"
1772682,en,No. We don't really do that. We feel that objectifies women and that's not really what we're about.,https://quotepark.com/quotes/1772682-harry-styles-no-we-dont-really-do-that-we-feel-that-objectif/,Harry Styles,https://quotepark.com/authors/harry-styles/,"Women, Feeling, doing, feel"
1897749,en,"The killing was a means to an end. That was the least satisfactory part. I didn't enjoy doing that. That's why I tried to create living zombies with uric acid in the drill [to the head], but it never worked. No, the killing was not the objective. I just wanted to have the person under my complete control, not having to consider their wishes, being able to keep them there as long as I wanted.",https://quotepark.com/quotes/1897749-jeffrey-dahmer-the-killing-was-a-means-to-an-end-that-was-the-le/,Jeffrey Dahmer,https://quotepark.com/authors/jeffrey-dahmer/,"Parting, Personality, acid, being, completion, control, controller, doing, drill, end, head, keep, kill, killing, living, mean, meaning, means, object, objection, objective, part, person, personal, want, wish, work, working, zombie"
1221212,en,Comming from your friendly neighborhood Spider-Man,https://quotepark.com/quotes/1221212-stan-lee-comming-from-your-friendly-neighborhood-spider-man/,Stan Lee,https://quotepark.com/authors/stan-lee/,"man, neighborhood, spider"
701870,en,Leave this world a little better than you found it.,https://quotepark.com/quotes/701870-robert-baden-powell-leave-this-world-a-little-better-than-you-found-it/,Robert Baden-Powell,https://quotepark.com/authors/robert-baden-powell/,"World, founding, leave"
1078841,en,I don't care that they stole my idea.. I care that they don't have any of their own,https://quotepark.com/quotes/1078841-nikola-tesla-i-dont-care-that-they-stole-my-idea-i-care-that/,Nikola Tesla,https://quotepark.com/authors/nikola-tesla/,"Idea, care, stole"
2111735,en,"To become a complete philosopher, you need to familiarize yourself with all the difficult questions.",https://quotepark.com/quotes/2111735-mwanandeke-kindembo-to-become-a-complete-philosopher-you-need-to-fami/,Mwanandeke Kindembo,https://quotepark.com/authors/mwanandeke-kindembo/,"Question, completion, familiar, familiarity, need, philosopher, questioner, yourself"
